genre,director_popularity,budget_musd,runtime_min,release_year,social_buzz,critic_score,star_power,audience_rating
Animation,0.407,46.421,114,2001,0.613,49.777,0.349,9.478
Comedy,0.55,51.716,100,1997,0.62,76.874,0.458,8.558
Animation,0.343,0.5,101,1998,0.639,56.853,0.0,5.956
Action,0.666,40.086,108,2014,0.285,72.4,0.488,9.104
Action,0.423,29.777,109,2024,0.632,43.568,0.88,8.497
Comedy,0.45,34.304,103,2005,0.308,60.993,0.39,8.529
Romance,0.36,17.232,118,2004,0.346,61.718,0.376,6.972
Romance,0.727,18.107,104,1995,0.799,61.578,0.662,9.005
Drama,0.234,14.184,113,2001,0.057,63.13,0.895,7.554
Romance,0.707,39.172,100,2021,0.332,75.48,0.446,8.21
Comedy,0.837,41.109,111,2010,0.173,48.486,0.0,8.083
SciFi,0.606,51.762,98,2015,0.507,52.895,0.012,8.769
Animation,0.18,21.683,114,2025,0.407,49.193,0.0,7.07
Action,0.154,37.287,87,2014,0.0,54.673,0.883,6.525
SciFi,0.63,0.72,124,2009,0.829,50.103,0.309,7.436
Comedy,0.586,19.787,112,2002,0.217,64.073,0.599,7.998
Drama,0.655,34.811,106,1999,0.545,87.923,0.475,9.142
Horror,0.391,44.677,136,2007,0.68,81.422,0.314,7.785
Animation,0.129,14.817,102,2025,0.25,85.144,0.875,7.503
Horror,0.184,24.189,119,2010,0.0,68.065,0.763,7.644
Romance,0.533,37.172,87,2021,0.372,66.595,0.458,8.055
Horror,0.253,17.924,123,2022,0.633,60.32,0.519,7.434
Drama,0.595,13.872,136,2003,0.506,36.674,0.499,8.012
Action,0.5,25.094,120,1997,0.447,69.248,0.144,8.075
Comedy,0.011,41.116,92,2002,0.761,80.903,0.339,8.202
Romance,0.492,44.381,79,2017,0.102,85.867,0.805,8.645
Action,0.479,47.716,101,2024,0.743,61.083,0.478,8.866
Romance,0.572,20.215,105,2016,0.3,58.847,0.425,8.893
Drama,0.465,8.387,105,1997,0.272,64.487,0.772,7.181
Action,0.327,35.771,122,1999,0.325,42.573,0.66,8.2
Animation,0.466,52.662,97,2009,0.128,74.574,0.444,9.599
Animation,0.648,25.156,86,2013,0.627,53.738,0.344,9.746
Comedy,0.57,16.0,111,2003,0.223,91.061,0.439,7.971
Action,0.37,28.981,110,2012,0.755,66.178,0.118,8.124
Animation,0.316,42.449,111,2007,0.424,53.022,0.253,7.779
SciFi,0.125,72.084,96,2009,0.428,63.504,0.689,8.468
Action,0.59,28.353,73,2017,0.569,74.617,0.1,8.453
Animation,0.339,28.114,117,2002,0.597,56.834,0.663,8.571
Action,0.4,48.797,106,2017,0.835,57.643,0.502,8.803
Action,0.299,22.422,101,1996,0.558,64.535,0.997,8.853
Horror,0.548,48.888,119,1996,0.764,87.33,0.6,8.908
Comedy,0.75,47.279,89,2002,0.226,67.359,0.259,8.535
SciFi,0.409,42.78,109,2014,1.0,79.068,0.844,10.0
Romance,0.571,51.388,115,1997,0.629,73.518,0.713,8.763
Action,0.291,32.729,133,2017,0.561,60.549,0.52,8.776
Animation,0.292,14.389,124,2012,0.394,66.343,0.64,8.255
Action,0.61,36.483,121,2018,0.753,34.799,0.239,8.598
Drama,0.351,0.5,92,1997,0.499,39.307,0.197,6.156
Action,0.229,62.205,130,2021,0.713,49.668,0.922,9.041
Animation,0.493,34.266,110,2015,0.218,53.678,0.572,9.016
Animation,0.496,23.447,110,2006,0.315,72.188,0.617,8.953
Horror,0.443,18.398,135,2012,0.345,71.27,0.525,7.538
Animation,0.599,15.137,120,1995,0.329,49.309,0.362,8.026
Drama,0.331,17.725,105,2003,0.529,32.251,0.326,6.645
Action,0.617,50.806,113,2020,0.51,73.789,0.199,8.69
Action,0.561,58.423,137,2015,0.896,73.696,0.245,9.087
Drama,0.267,15.153,118,2010,0.512,83.975,0.08,9.089
SciFi,0.497,21.875,133,2022,0.683,34.882,0.797,7.121
Drama,0.482,25.714,81,2013,0.79,64.88,0.685,9.66
Drama,0.332,52.11,85,2022,0.905,73.721,0.858,9.351
Animation,0.436,18.882,116,2010,0.373,38.678,0.222,8.181
Animation,0.434,22.965,117,2025,0.472,39.45,0.229,8.421
SciFi,0.347,32.231,108,1999,0.192,76.725,0.659,8.667
Drama,0.338,49.567,92,2022,0.105,56.522,0.225,8.437
Animation,0.42,11.334,111,2014,0.821,73.83,1.0,8.683
Romance,0.967,52.335,111,1998,0.111,43.346,0.633,8.235
Animation,0.465,43.264,114,2008,0.688,79.629,0.094,8.618
Comedy,0.624,48.332,93,2010,0.755,72.117,0.428,8.7
Drama,0.537,13.974,82,2009,0.806,51.873,0.648,9.182
Drama,0.668,29.02,132,2009,0.41,70.636,0.362,8.055
Comedy,0.652,19.606,119,2004,0.709,64.424,0.863,9.019
Drama,0.9,31.527,117,2024,0.0,51.207,0.318,8.534
Animation,0.407,33.363,136,2002,0.272,49.189,0.325,6.756
Romance,0.454,22.62,127,1996,0.701,59.147,0.751,7.502
Action,0.344,41.249,102,2008,0.56,72.131,0.0,7.819
SciFi,0.34,29.865,126,2025,0.976,37.99,0.552,8.481
Action,0.318,24.182,111,2019,0.985,58.784,0.387,7.302
Animation,0.564,16.519,110,2012,0.46,75.261,0.668,9.098
Horror,0.344,45.651,78,1998,0.372,49.915,0.062,5.657
Drama,0.622,24.613,135,2024,0.68,58.43,0.155,8.677
Action,0.541,24.147,126,1998,0.53,83.544,0.316,8.977
Romance,0.418,12.349,89,2023,0.29,59.106,0.558,6.938
Drama,0.514,44.129,112,2009,0.327,68.749,0.042,9.514
Drama,0.0,18.582,100,2001,0.695,100.0,0.379,8.827
Comedy,0.422,17.274,94,1995,0.714,69.222,0.939,8.771
Comedy,0.809,40.67,112,2022,0.668,67.76,0.929,10.0
Drama,0.239,35.281,103,1999,0.067,58.288,0.887,8.695
Comedy,0.852,32.471,111,2000,0.721,64.247,0.63,9.092
Action,0.547,4.264,113,2011,0.272,55.867,0.561,8.474
Romance,0.583,0.525,93,2025,0.463,100.0,0.676,8.42
Action,0.327,0.5,112,1997,0.678,57.176,0.577,7.523
SciFi,0.331,15.966,87,2011,1.0,60.044,0.785,7.83
Action,0.651,43.099,92,2019,0.025,55.476,0.026,8.028
Horror,0.383,43.981,104,2008,0.556,60.595,0.677,9.014
Horror,0.412,55.839,121,1997,0.124,75.287,0.408,7.689
Action,0.28,20.042,106,2006,0.612,90.023,0.076,7.268
Action,0.707,49.918,105,2006,0.737,75.816,0.662,10.0
Animation,0.8,48.224,92,2013,0.813,67.37,0.762,9.052
SciFi,0.372,13.73,95,1995,0.216,51.104,0.479,6.922
Drama,0.45,17.669,109,2022,0.523,78.645,0.787,10.0
Action,0.639,45.464,120,2007,0.3,71.611,0.226,9.09
Animation,0.751,22.73,116,2019,0.403,48.422,0.248,8.266
Horror,0.792,17.868,100,2001,0.504,57.63,0.315,7.957
Romance,0.296,19.863,106,2014,0.665,74.549,0.557,9.462
Animation,0.385,29.536,123,1995,0.235,65.262,0.712,8.804
Comedy,0.121,29.953,112,2022,0.409,64.197,0.233,7.562
Drama,0.52,12.597,101,2017,0.368,55.437,0.0,8.503
Comedy,0.588,10.259,126,1997,0.011,58.458,0.546,6.688
Action,0.58,19.746,117,2005,0.577,90.654,0.814,9.856
SciFi,0.066,27.962,95,2021,0.827,59.821,0.388,8.532
Comedy,0.593,9.719,94,2015,1.0,81.814,0.306,8.643
SciFi,0.514,13.657,127,2015,0.352,78.207,0.481,8.669
Horror,0.468,44.739,116,2004,0.596,45.775,0.441,7.922
Horror,0.435,31.528,112,2022,0.413,71.46,0.485,7.599
SciFi,0.39,4.958,101,2023,1.0,73.373,0.355,8.442
SciFi,0.387,31.308,116,2023,0.544,87.248,0.0,9.175
Action,0.646,30.228,126,2009,0.161,61.9,0.133,8.753
Horror,0.347,37.394,88,2015,0.245,58.196,0.693,6.904
Drama,0.43,26.397,88,2024,0.386,59.85,0.822,9.049
Drama,0.392,50.364,105,2017,0.388,76.944,0.418,8.046
Animation,0.748,46.231,126,2025,0.473,42.244,0.145,8.294
Horror,0.462,29.847,96,2005,1.0,81.385,0.407,8.865
Action,0.608,22.501,135,2011,0.562,36.764,0.552,7.942
Drama,0.698,15.414,102,2000,0.417,77.6,0.126,8.512
Horror,0.388,43.743,113,2018,0.521,81.208,0.41,9.338
Horror,0.515,41.035,135,2023,0.406,72.322,0.294,9.498
Horror,0.312,33.171,84,2011,0.0,58.295,0.683,5.939
Comedy,0.546,26.484,95,2024,0.529,88.189,0.791,9.668
Animation,0.368,38.752,123,2011,0.661,77.858,0.667,9.195
Horror,0.846,7.034,97,2006,0.628,69.32,1.0,8.557
Action,0.534,41.551,91,2020,0.542,68.329,0.746,8.758
Animation,0.701,47.959,108,1997,0.508,75.381,0.521,10.0
SciFi,0.883,22.828,108,2004,0.51,72.624,0.526,9.816
SciFi,0.407,31.936,126,1995,0.311,51.743,0.259,7.179
Action,0.337,21.644,102,2008,0.643,85.576,0.266,8.585
SciFi,0.162,22.793,106,2022,0.498,44.058,0.566,8.162
Action,0.482,26.503,114,2002,0.462,44.019,0.555,7.101
Drama,0.625,40.394,98,2021,0.805,68.053,0.225,8.957
Animation,0.234,45.757,127,2025,0.299,68.285,0.66,8.691
Action,0.431,41.842,87,2010,0.774,64.478,0.918,9.48
Animation,0.675,50.925,116,2003,0.67,75.128,0.817,9.25
Horror,0.432,38.176,104,2020,0.276,38.238,0.446,7.141
SciFi,0.42,39.459,109,2004,0.456,70.525,0.386,7.882
SciFi,0.476,21.129,94,2018,0.594,74.577,0.33,8.899
Animation,0.498,35.61,108,2015,0.251,75.002,0.5,8.421
Action,0.671,46.034,110,1997,0.435,66.898,0.858,8.222
Action,0.872,12.139,96,2025,0.313,76.779,0.621,9.084
Drama,0.268,42.984,110,2018,0.623,72.085,0.778,9.54
Animation,0.448,28.946,126,2014,0.377,97.593,0.372,9.033
Animation,0.61,34.144,98,2020,0.0,52.975,0.06,7.356
Action,0.667,18.184,106,2004,0.735,45.977,0.82,8.535
Animation,0.408,38.172,136,2002,0.459,65.869,0.444,7.849
Animation,0.436,37.864,109,2023,0.684,71.653,0.898,9.789
SciFi,0.326,38.184,103,2005,0.441,54.732,0.287,7.473
Animation,0.334,34.051,88,2000,0.515,57.164,0.0,7.732
Animation,0.582,36.081,116,2017,0.69,70.59,1.0,9.443
Action,0.481,29.919,131,2012,0.446,85.762,0.417,8.533
Romance,0.733,61.182,122,2018,0.802,76.114,0.369,9.523
Animation,0.473,34.503,110,2015,0.526,53.341,0.579,9.573
SciFi,0.349,16.502,101,2025,0.352,61.385,0.677,8.269
Horror,0.309,34.728,112,2009,0.259,73.477,0.425,7.87
Animation,0.436,6.063,136,1999,0.0,66.208,0.2,7.268
Action,0.592,28.759,121,1998,1.0,76.308,0.671,9.215
Animation,0.8,14.167,131,2001,0.338,66.451,0.207,7.497
Drama,0.478,23.484,110,2007,0.0,63.662,0.551,8.461
Action,0.447,49.846,122,2004,0.188,36.695,0.389,6.308
Romance,0.674,19.865,121,1996,0.236,76.402,0.608,8.862
Action,0.335,40.748,83,2014,0.356,61.805,0.386,8.533
Animation,0.469,49.097,108,2006,0.505,55.011,0.206,8.394
Action,0.807,35.742,116,1999,0.215,50.819,0.314,7.634
Comedy,0.743,13.755,122,2021,0.431,77.939,0.646,8.267
Romance,0.291,23.443,123,1998,0.523,84.7,0.458,8.462
Romance,0.192,16.09,95,2003,0.928,59.614,0.554,7.404
Romance,0.717,35.443,86,2019,0.439,69.598,0.381,8.349
Romance,0.454,32.261,111,2005,0.275,72.562,0.584,8.854
SciFi,0.857,15.412,109,1999,0.411,45.888,0.462,8.709
Horror,0.497,26.393,118,2024,0.192,61.103,0.274,6.246
Romance,0.309,11.928,102,2002,0.396,62.711,0.707,9.299
Animation,0.296,27.519,119,2017,0.215,66.184,0.0,7.156
Romance,0.485,37.565,103,2007,0.281,80.538,0.0,7.97
Drama,0.344,35.848,108,2024,0.32,69.09,0.333,8.455
SciFi,0.466,49.105,109,2018,0.619,55.444,0.403,8.182
Romance,0.284,30.742,116,2005,0.477,58.239,0.503,7.781
SciFi,0.616,28.783,92,2010,0.078,55.095,0.524,8.124
Romance,0.46,53.915,119,2015,0.224,56.661,0.401,6.389
Comedy,0.168,44.11,113,2021,0.473,51.004,0.676,9.638
Drama,0.302,31.463,108,2013,0.041,44.266,0.36,7.882
Romance,0.275,25.296,137,2009,0.316,61.098,0.95,7.394
Romance,0.783,29.561,119,2018,0.391,75.71,0.425,8.323
SciFi,0.764,4.869,118,1997,0.234,59.546,0.565,8.267
Comedy,0.474,44.742,110,2009,0.515,27.782,0.372,8.709
Action,0.486,44.123,111,2009,0.87,59.656,0.739,8.162
Romance,0.493,32.856,87,2015,0.681,58.692,0.368,7.944
Comedy,0.282,32.258,124,2017,0.483,48.88,0.414,6.965
Comedy,0.431,31.687,87,2014,0.572,60.565,0.132,8.273
Action,0.585,26.364,125,2001,0.025,57.329,0.437,7.221
Action,0.714,19.893,88,2010,0.751,74.695,0.599,8.638
SciFi,0.278,39.793,89,2004,0.365,62.483,0.253,7.921
SciFi,0.197,44.119,116,2017,1.0,83.75,0.587,9.354
Horror,0.701,33.047,113,2018,0.077,55.467,0.293,7.947
Animation,0.491,42.669,102,1997,0.349,44.857,0.147,7.56
Drama,0.962,61.98,103,2002,0.581,77.804,0.138,10.0
Romance,0.47,12.233,104,2021,0.535,81.532,0.591,8.911
Romance,0.505,26.179,98,2024,0.208,66.984,0.47,8.003
Action,0.589,8.858,117,2022,0.892,72.419,0.351,9.3
Comedy,0.51,4.06,140,2002,1.0,74.771,0.129,7.836
Romance,0.745,34.595,99,2023,0.728,82.266,0.538,9.952
Action,0.249,22.996,109,2016,0.346,49.254,0.629,9.331
Romance,0.417,16.577,122,2017,0.377,69.28,0.201,8.35
Horror,0.508,40.702,115,2009,0.391,81.583,0.336,8.866
Comedy,0.449,21.205,117,2005,0.159,37.992,0.563,7.079
Romance,0.531,25.715,95,1996,0.738,71.789,0.385,8.519
SciFi,0.18,32.113,120,2024,0.188,97.634,1.0,8.966
Romance,1.0,69.711,98,2014,0.525,60.681,0.259,8.888
Drama,0.676,16.441,122,2006,0.415,78.219,0.707,8.534
Animation,0.724,28.022,127,2006,0.032,63.233,0.571,8.889
Action,0.252,27.629,144,2013,0.461,52.675,0.56,8.202
SciFi,0.618,14.722,97,2003,0.186,66.457,0.211,7.305
Horror,0.176,43.123,133,2000,0.7,79.533,0.711,9.416
Romance,0.735,25.148,113,2021,0.417,52.464,0.13,6.95
Comedy,0.701,37.813,113,2001,0.259,64.478,0.226,7.515
SciFi,0.75,18.529,128,2008,0.53,83.366,0.523,8.606
Action,1.0,6.795,109,2008,0.69,34.127,0.588,8.718
Comedy,0.516,50.827,109,2020,0.734,53.442,0.646,8.46
Romance,0.644,33.441,132,2022,1.0,87.52,0.463,9.515
Horror,0.316,43.089,111,2000,0.512,90.157,0.74,8.279
Animation,0.358,61.404,104,2024,0.666,67.731,0.853,8.728
Horror,0.44,63.769,105,2012,0.314,61.425,0.475,8.289
Comedy,0.425,8.596,96,2017,0.748,33.877,0.402,8.422
SciFi,0.601,17.164,120,2019,0.364,63.292,0.059,7.644
Romance,0.425,34.919,109,2008,0.511,70.927,0.228,7.651
SciFi,0.225,45.626,121,2009,0.537,50.957,0.514,8.53
Romance,0.423,17.415,102,2019,0.171,46.804,0.476,7.003
Comedy,0.245,47.974,118,2006,0.705,66.201,0.516,8.429
Drama,0.676,35.134,113,2008,0.198,71.028,0.452,8.675
Drama,0.246,23.244,116,1995,0.013,61.138,0.739,8.722
Comedy,0.718,21.774,106,2007,0.596,75.386,0.484,9.336
Comedy,0.308,36.258,104,2003,0.51,87.508,0.363,7.764
Horror,0.507,40.006,117,2025,0.12,82.55,0.137,8.481
Horror,0.313,53.76,135,1999,0.0,58.645,0.823,6.876
Comedy,0.285,68.513,101,2004,0.466,43.86,0.927,8.154
Drama,0.238,49.402,104,2013,0.577,80.986,1.0,9.947
Action,0.809,45.97,105,2017,0.612,90.958,0.546,9.725
Animation,0.558,15.241,88,2002,0.502,64.854,0.645,8.064
Horror,0.59,47.106,108,2007,0.0,57.713,0.678,7.09
Action,0.548,16.301,124,2015,0.311,71.2,0.438,8.243
Comedy,0.796,27.278,106,2015,0.389,51.394,0.511,6.921
Horror,0.572,34.221,114,2012,0.908,47.83,0.341,7.723
Animation,0.567,20.161,89,1999,0.469,67.767,0.705,9.105
Action,0.854,53.757,118,2009,0.668,68.889,0.204,9.057
Romance,0.574,25.684,97,2004,0.878,71.547,0.727,9.226
Action,0.447,21.937,121,2000,0.481,52.26,0.428,7.35
Animation,0.599,22.076,115,2015,0.362,52.429,0.459,7.159
Horror,0.334,21.851,107,2019,0.337,57.338,0.073,6.06
SciFi,0.333,35.141,122,2009,0.781,79.675,0.0,8.505
Drama,0.275,18.199,98,2022,0.38,56.09,0.54,7.534
SciFi,0.181,11.099,97,2005,0.658,73.64,0.657,9.018
SciFi,0.294,43.03,95,2010,0.381,49.801,0.211,5.836
SciFi,0.0,36.179,120,2000,0.392,80.093,0.723,8.276
Action,0.369,30.954,95,2015,0.714,42.221,0.512,7.309
Horror,0.694,39.621,126,2020,0.514,52.562,0.452,8.787
Comedy,0.55,10.989,112,2011,0.211,70.596,0.58,8.252
Drama,0.132,5.652,103,2019,0.439,46.497,0.616,7.485
Animation,0.414,20.697,112,2003,0.455,48.959,0.875,6.773
Animation,0.739,33.904,100,2018,0.302,57.685,0.414,7.821
Comedy,0.239,12.469,120,2013,0.083,57.787,0.664,6.803
Romance,0.457,24.822,128,2025,0.957,31.028,0.452,7.947
Animation,0.6,0.5,140,1999,0.476,62.595,0.373,7.462
Comedy,0.64,31.623,87,2010,0.722,81.534,0.332,8.601
Action,0.225,7.001,125,2003,0.666,54.538,0.018,6.576
SciFi,0.565,55.872,110,2018,1.0,87.174,0.244,9.057
Animation,0.728,37.187,113,2001,0.76,51.762,0.507,9.062
Comedy,0.746,14.183,103,2005,0.833,49.31,0.836,9.283
Animation,0.4,31.941,120,1995,0.29,80.829,0.486,9.821
Romance,0.488,20.218,138,2023,0.445,86.623,0.499,9.016
Romance,0.602,42.998,102,2002,0.864,59.078,0.547,9.259
Action,0.578,37.22,117,2016,0.47,65.646,0.43,8.97
Animation,0.406,33.746,123,2018,0.606,67.411,0.39,8.499
Horror,0.625,33.685,85,1999,0.263,47.479,0.793,7.804
SciFi,0.373,16.929,106,1999,0.154,83.182,0.333,7.281
Action,0.55,34.902,115,2018,0.021,90.673,0.446,8.848
Drama,0.407,21.064,90,2004,0.263,69.158,0.123,8.152
Drama,0.261,35.664,129,2001,0.497,52.445,1.0,8.931
Comedy,0.402,30.236,89,2011,0.501,66.789,0.475,7.931
Horror,0.634,42.471,95,2006,0.353,62.347,0.0,7.692
Action,0.574,30.587,109,1996,0.571,79.333,0.42,8.714
Animation,0.808,9.883,121,1997,0.303,50.604,0.56,8.348
Action,0.366,29.282,116,2007,0.21,43.202,0.281,6.815
Drama,0.268,22.308,86,2022,0.513,76.203,0.61,8.502
SciFi,0.367,21.848,108,1998,0.09,73.124,0.511,8.334
Drama,0.517,4.053,106,2018,0.486,79.441,0.499,7.277
Romance,0.76,13.13,136,2003,0.583,53.414,0.471,8.801
Horror,0.456,16.383,113,2010,0.596,57.993,0.737,8.91
SciFi,0.455,23.402,109,2022,0.482,72.319,0.358,7.848
Comedy,0.535,46.451,144,1996,0.0,54.167,0.485,6.657
Drama,0.505,63.372,98,2013,0.923,52.649,0.712,9.818
Animation,0.427,25.423,109,2007,0.754,72.042,0.403,10.0
Drama,0.689,38.559,101,2020,0.652,58.041,0.829,8.719
Horror,0.56,55.94,109,2018,0.843,50.151,0.501,8.685
Horror,0.747,32.804,94,1995,0.21,65.773,0.496,7.018
Romance,0.175,26.406,119,2002,0.0,83.459,0.637,7.471
Drama,0.876,48.661,124,2017,0.318,78.164,0.331,9.107
SciFi,0.236,48.563,130,1997,0.425,62.064,0.431,7.457
Drama,0.488,43.017,117,2018,0.131,57.407,0.744,8.561
Comedy,0.977,33.719,90,1999,0.715,75.1,0.45,9.623
Drama,0.633,27.745,105,1998,0.683,87.955,0.744,9.402
SciFi,0.794,57.608,117,2005,0.735,83.978,0.746,9.759
Action,0.431,19.553,113,2007,0.496,76.677,0.248,8.121
Action,0.472,32.735,102,1995,0.903,74.877,0.529,9.657
Horror,0.304,45.22,97,2003,0.239,70.143,0.451,7.819
Romance,0.498,22.616,112,2023,0.761,42.651,0.929,9.763
Action,0.629,47.049,116,1995,0.274,53.282,0.677,7.557
Drama,0.847,24.201,140,1996,0.239,51.345,0.323,7.278
SciFi,0.415,30.844,98,2015,0.675,78.719,0.298,7.905
Animation,0.236,44.618,111,2017,0.302,79.561,0.0,8.354
SciFi,0.431,40.726,129,1995,0.555,85.657,0.236,10.0
SciFi,0.722,17.585,125,2002,0.613,63.878,0.391,7.992
Animation,0.584,6.301,113,2013,0.0,80.275,0.133,6.989
Animation,0.802,35.083,119,2005,0.634,43.232,0.551,8.883
Romance,0.346,45.594,132,2021,0.974,95.9,0.461,8.975
Horror,0.508,34.956,111,2014,0.56,82.989,1.0,9.111
Comedy,0.563,17.159,121,2022,0.904,63.591,0.547,7.968
Animation,0.269,44.061,121,2006,0.734,61.441,0.734,8.858
Action,0.409,41.329,134,2008,0.439,74.917,0.0,7.783
SciFi,0.4,18.025,77,2020,0.27,82.384,0.596,7.529
Romance,0.461,22.748,105,2025,0.0,38.753,0.285,6.951
Comedy,0.243,2.956,89,2025,0.227,51.196,0.732,7.481
Drama,0.496,18.945,119,2023,0.483,92.108,0.393,8.61
Drama,0.217,18.88,113,2002,0.419,51.944,0.592,6.958
Action,0.255,46.003,140,2010,0.4,75.277,0.343,7.304
Animation,0.765,44.295,93,2016,0.542,81.241,0.52,9.454
Action,0.294,63.534,118,2007,0.569,68.145,0.584,10.0
Drama,0.302,12.82,98,2010,0.425,49.709,0.305,6.871
Horror,0.551,35.784,112,2017,0.656,32.766,0.31,6.779
Drama,0.427,30.374,114,2013,0.224,59.649,0.521,8.193
Action,0.419,51.234,101,1995,0.402,70.715,0.844,9.476
Action,0.467,24.587,124,2010,0.655,57.778,0.344,7.902
Drama,0.644,20.508,98,2009,0.565,62.597,0.975,8.908
Romance,0.455,26.853,104,2006,0.592,50.517,0.507,7.609
Action,0.7,6.681,93,2022,0.651,83.018,0.373,8.915
Horror,0.668,49.45,96,2011,0.228,57.172,0.0,6.485
Comedy,0.745,47.309,130,2001,1.0,67.798,0.379,7.81
Horror,0.776,38.299,136,1999,0.597,54.995,0.969,7.813
Action,0.718,39.944,82,2011,0.342,35.548,0.632,8.244
SciFi,0.228,31.45,102,1999,0.699,81.025,0.531,7.198
Action,0.415,27.344,105,2006,0.802,73.457,0.364,8.496
Horror,0.285,41.708,112,1999,0.222,49.665,0.295,7.201
Drama,0.477,25.56,98,2006,0.531,92.439,0.558,9.028
Horror,0.653,44.335,92,2022,0.529,77.56,0.483,7.555
Drama,0.475,45.461,104,2001,0.372,78.125,0.368,7.933
Drama,0.524,37.79,93,2000,0.86,74.452,0.142,9.566
SciFi,0.535,27.5,119,2021,0.943,68.638,0.523,9.805
Comedy,0.559,25.807,137,2011,0.048,85.494,0.422,7.585
Horror,0.396,24.775,123,2006,0.258,49.035,0.896,7.371
Action,0.876,26.759,124,2000,0.764,44.262,0.539,9.282
Comedy,0.431,19.328,107,2019,0.527,87.23,0.422,8.507
Comedy,0.517,28.426,108,2003,0.035,42.403,0.409,6.327
Drama,0.327,36.716,103,2009,0.655,59.146,0.787,8.379
Action,0.314,7.954,108,2021,0.671,48.698,0.331,7.628
Romance,0.557,33.423,131,2022,0.474,61.315,0.86,9.46
Comedy,0.414,45.025,130,2023,0.962,75.337,0.594,8.945
Drama,0.365,8.257,80,2003,0.0,77.736,0.359,7.15
SciFi,0.236,35.542,97,2017,0.553,83.274,0.618,7.434
Romance,0.394,39.841,120,2012,0.821,67.851,0.603,9.211
Animation,0.611,0.5,97,2025,0.403,52.736,0.698,7.903
Romance,0.644,18.675,120,2013,0.343,56.999,0.969,7.222
SciFi,0.574,11.718,99,2010,0.726,53.686,0.665,8.01
Drama,0.154,45.758,137,2005,1.0,48.612,0.675,9.312
Drama,0.378,36.139,102,1997,0.148,66.651,0.657,8.895
Action,0.369,33.051,112,2000,0.176,39.58,0.528,8.161
Romance,0.645,15.656,116,2010,0.448,67.784,0.576,8.894
Action,0.762,14.167,107,1995,0.491,57.062,0.365,8.08
Comedy,0.328,44.177,120,2004,0.732,89.239,0.438,9.566
Romance,0.258,27.676,89,1999,0.654,47.234,0.949,7.816
Animation,0.6,21.127,116,2018,0.671,64.02,0.794,9.534
Action,0.306,46.171,139,2003,0.619,67.79,0.154,7.939
Action,0.465,28.294,107,2017,0.702,75.814,0.636,9.628
Romance,0.676,48.97,101,2016,0.345,79.643,0.68,8.271
Horror,0.283,33.428,103,2018,0.349,56.759,0.564,6.838
